人工智能之Mixly趣味编程,,33.40,0.0,秦志强,人工智能
人工智能及其演化,,69.50,5.0,刘海滨,人工智能
TensorFlow+Keras深度学习人工智能实践应用通过大量的范例浅入深地讲解Keras与TensorFlow深度学习类神经网络,浅入深地讲解Keras与TensorFlow深度学习类神经网络使用实际的数据集配合范例程序代码介绍各种深度学习算法，并示范如何进行数据预处理、训练数据、建立模型和预测结果,54.50,4.5,林大贵,人工智能
AI进化论――解码人工智能商业场景与案例,10余位研究人员，历时1年多，涉及8个领域，走访上百家企业，深入调研人工智能在各个产业的商业应用场景。 9章内容，13个表格，122幅图片，全彩印刷，精彩呈现人工智能未来发展面临的挑战与机遇。,49.70,0.0,亿欧智库,人工智能
人工智能集对分析,,86.90,0.0,蒋云良，赵克勤,人工智能
人工智能真的来了（团购，请致电010-57993380）杨澜带你一起走近AI改变的世界和改变AI的人，李彦宏、李开复、李德毅、张亚勤、李飞飞、吴恩达、胡郁、王永东、微软小冰倾情推荐。,中国 首位媒体人 全方位探寻人工智能，书写高科技背后的浪漫与理性。 著名媒体 杨澜 继超级畅销书《世界很大，幸好有你》《一问一世界》《幸福要回答》后 首部跨界 力作。 斯坦福大学终身教授、 谷歌云 首席科学家李飞飞作序。 李彦宏、李德毅、李开复、张亚勤、吴恩达、胡郁、王永东、微软小冰倾情推荐。 5 个国家， 20 多座 城市， 30 多个全球 重量级科研机构 ，80多位 世界 知名AI科学家。 一段充满 惊奇与惊喜、温暖与温度、哲思与展望 的人工智能探寻之旅。 AI 改变世界，谁来改变AI？ 我们创造了人工智能，在它们的身上看到了我们自己的希望、想象和恐惧，以及我们与这个世界相处的另一种可能性，但更让我们发现了人类智能的种种奇妙之处。 杨澜,34.60,5.0,杨澜,人工智能
无界：人工智能时代的认知升级,在AI爆裂时代，限制我们的是认知，面对指数式增长的知识和信息，焦虑成为了这个时代的底色。我们应该如何调整心态，迎接和拥抱智能文明？面对人工智能带来的爆裂式变化，我们应该如何升级认知？本书通过研究人类面对复杂世界不同领域的知识，探索面对未来智能文明的现代人必须掌握的生存原则，构建人工智能时代的知识体系。,43.50,5.0,刘志毅,人工智能
科学的极致：漫谈人工智能科学探索群体集智俱乐部创作 带你踏上科学的旅程 尽享思考的乐趣 当奇点临近 你要知道人工智能的未来,*受欢迎的科学探索群体――集智俱乐部首部科普著作 全面涵盖人机交互、脑科学、计算心理学、系统科学、社会科学等前沿知识 生动的文笔，精美的插图，数十位科学爱好者带你展开一场人工智能探索之旅 制造出能够像人类一样思考的机器是人们长期以来的伟大梦想，也是当今科学发展的极致。从《终结者》《黑客帝国》《机器人瓦利》再到《超验骇客》，我们多数人对人工智能的认识还停留在好莱坞电影阶段，然而，人工智能作为一门计算机科学分支究竟是什么样的？目前发展到了什么阶段？能够战胜人类的终极AI机器真的会存在吗？ 从这本书中，你很快就会发现问题的答案。《科学的极致：漫谈人工智能》将全面介绍人工智能的发展历史、探究过程以及在各个领域的应用，以通俗易懂的语言和生动有趣的示例为你揭示人工智能不为,38.60,5.0,集智俱乐部 编著,人工智能
人工智能中的深度结构学习深度学习大神Yoshua Bengio的经典之作，带你深入理解深度学习的动机和原理。,,27.50,5.0,Yoshua Bengio,人工智能
人工智能知识讲座,,30.00,5.0,谭营 著,人工智能
一本书读懂人工智能（图解版）一本人工智能的科普手册,从1.0时代到4.0时代，人工智能潜移默化地影响着我们的生活，也为我们提供了诸多便利，很难想象没有人工智能的生活会是怎样的。但究竟什么是人工智能？它是如何发展的？人工智能在将来又会变成什么样呢？就让我们通过阅读本书，一起解读人工智能。人工智能：藏于冰山下的万亿级巨大市场信息奇点：让人类永生，还是做人类的主人图灵的计算王国――人工智能1.0时代知识，让计算机更聪明――人工智能2.0时代悄然兴起的“机器学习”――人工智能3.0时代“深度学习”打破沉寂――人工智能4.0时代,27.70,4.5,李连德,人工智能
人人都应该知道的人工智能畅 销 书《人工智能时代》作者、斯坦福大学教授杰瑞?卡普兰重磅新作！未来会像《星际迷航》中那样空前繁荣与自由，还是会像《终结者》中那样爆发人与机器之间无尽的战争？卡普兰会在本书中为你揭晓谜底。,l 在《人人都应该知道的人工智能》这本书中，杰瑞 卡普兰用简洁的语言探讨了人工智能在未来几十年里可能带来的一些复杂的社会、法律和经济问题。 l 《人人都应该知道的人工智能》这本书旨在为好奇的非技术读者提供一条捷径，一份扼要且易读的简介，让他们了解人工智能，以及这项重要技术在未来可能造成的影响。 l 湛庐文化出品。,44.70,5.0,杰瑞?卡普兰(Jerry Kaplan) 著、汪婕舒 译,人工智能
初识人工智能,,33.40,0.0,秦志强,人工智能
人工智能：从科幻中复活的机器人革命一本书轻松读懂人工智能的过去、现在和未来。,关于人工智能，本书的两位作者 袁飞和蒋一鸣，作为走在人工智能科研前沿的研究者，用他们的文字向你娓娓道来，为你展示了一个激动人心的智能未来，给了你一种全新的视角，带着你去理解、去探索、去畅想。人工智能时代已经到来，机器人已经从电影屏幕走入了我们的日常生活，智能制造将开始改变我们的生活。Are you ready ? 人工智能时代来了！奔袭而来的时代潮流，是黎明曙光，还是昙花一现？翻天覆地的深刻变革，是救世英雄，还是洪水猛兽？人机共存时代的机遇、技术与思维革命人工智能时代到来，重新定义人类价值揭示人类思维的终极奥秘，未来超越想象,31.05,0.0,袁飞;蒋一鸣,人工智能
人工智能与本能――如何让机器人拥有自我意识一本关于强人工智能和本能学习的图书，是人工智能入门的科普级教材，同时《人工智能与本能》强调智能的本质就是为了更好地活着。,《人工智能与本能：如何让机器人拥有自我意识》就机器人是否应具有意识、情感 ，是否可以自我更新与升级，是否具有生存时间限制等问题进行了深入介绍与探讨，其观点独特且具有参考价格。 《人工智能与本能：如何让机器人拥有自我意识》 通俗易懂，属于国内首本关于强人工智能的图书，适合各个层次的人阅读与参考。,37.90,4.0,王昭东,人工智能
人工智能新视野,,48.90,5.0,张自力,人工智能
人工智能时代(人机共生下财富、工作与思维的大未来)杰瑞・卡普兰开启盛夏中国行与李开复dianfeng对话！人工智能时代领军人斯坦福教授杰瑞・卡普兰重磅新作！中国人工智能学会李德毅院士、创新工场李开复专文作序！罗振宇2017年跨年演讲倾情推荐！！！,人工智能时代，人类和智能机器之间的伦理关系引人深思，智能机器对未来人类的威胁，尤其是工作机会的威胁，以及随之带来的失业问题和贫富差距问题，让人心生不安。而人工智能专家卡普兰在《人工智能时代》一书中提出了自由市场调整方案，给人们以启迪和安慰。 智能时代领军人、硅谷*传奇的连续创业者杰瑞 卡普兰重磅新作！作为《经济学人》2015年度图书，本书内容充满了独创性。很多人都只是提出了问题，但卡普兰的独特之处在于，他设计了解决方法！ 中国人工智能学会理事长、中国工程院院士李德毅，创新工场 李开复专文作序。 中国银行业协会首席经济学家、香港交易所首席中国经济学家巴曙松，中国商业文明研究中心、秦朔朋友圈发起人秦朔，斯坦福大学人工智能实验室主任李飞飞，达闼科技创,44.90,5.0,（美）杰瑞・卡普兰（Jerry Kaplan）著 ，李盼 译,人工智能
